ctgy,business,bus_type,short_description,purpose,long_description,cost,points
Remote,Pizza Place,Entertainment,New York City,Business Audit,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,3000.00,30000
Remote,Pizza Place,Entertainment,Yellowstone National Park,Development Oversight,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2000.00,20000
Remote,Pizza Place,Entertainment,Las Vegas,New Venture,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,4000.00,40000
Remote,Pizza Place,Entertainment,Washington DC,Meeting with Gov. Officials,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1300.00,13000
Remote,Pizza Place,Entertainment,San Diego,Business Seminar,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1900.00,19000
Remote,Pizza Place,Entertainment,Charleston,Office Training,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1000.00,10000
Remote,Pizza Place,Entertainment,Orlando,New Office Opening,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500.00,25000
Remote,Pizza Place,Entertainment,Carribean Island,Employment Review,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,3500,35000
Remote,Pizza Place,Entertainment,Hawaian Island,Sales Review Meetings,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,4500,45000
Remote,Pizza Place,Entertainment,Key West,Land Development,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Pizza Place,Entertainment,San Francisco,Equipment Procurement,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Pizza Place,Entertainment,Houston,Supply Management,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Bowling Lanes,Entertainment,New Orleans,Business Conference,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1200.00,12000
Remote,Bowling Lanes,Entertainment,Chicago,Business Meeting,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1800.00,18000
Remote,Bowling Lanes,Entertainment,Grand Canyon National Park,Business Operation Review,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1500.00,15000
Remote,Bowling Lanes,Entertainment,New York City,Business Audit,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,3000.00,30000
Remote,Bowling Lanes,Entertainment,Yellowstone National Park,Development Oversight,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2000.00,20000
Remote,Bowling Lanes,Entertainment,Las Vegas,New Venture,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,4000.00,40000
Remote,Bowling Lanes,Entertainment,Washington DC,Meeting with Gov. Officials,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1300.00,13000
Remote,Bowling Lanes,Entertainment,San Diego,Business Seminar,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1900.00,19000
Remote,Bowling Lanes,Entertainment,Charleston,Office Training,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1000.00,10000
Remote,Bowling Lanes,Entertainment,Orlando,New Office Opening,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500.00,25000
Remote,Bowling Lanes,Entertainment,Carribean Island,Employment Review,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,3500,35000
Remote,Bowling Lanes,Entertainment,Hawaian Island,Sales Review Meetings,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,4500,45000
Remote,Bowling Lanes,Entertainment,Key West,Land Development,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Bowling Lanes,Entertainment,San Francisco,Equipment Procurement,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Bowling Lanes,Entertainment,Houston,Supply Management,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,2500,25000
Remote,Oil & Gas Stock Office,Oil and Gas,New Orleans,Business Conference,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1200.00,12000
Remote,Oil & Gas Stock Office,Oil and Gas,Chicago,Business Meeting,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1800.00,18000
Remote,Oil & Gas Stock Office,Oil and Gas,Grand Canyon National Park,Business Operation Review,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1500.00,15000
Remote,Oil & Gas Stock Office,Oil and Gas,New York City,Business Audit,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,3000.00,30000
Remote,Oil & Gas Stock Office,Oil and Gas,Yellowstone National Park,Development Oversight,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,2000.00,20000
Remote,Oil & Gas Stock Office,Oil and Gas,Las Vegas,New Venture,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,4000.00,40000
Remote,Oil & Gas Stock Office,Oil and Gas,Washington DC,Meeting with Gov. Officials,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1300.00,13000
Remote,Oil & Gas Stock Office,Oil and Gas,San Diego,Business Seminar,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1900.00,19000
Remote,Oil & Gas Stock Office,Oil and Gas,Charleston,Office Training,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,1000.00,10000
Remote,Oil & Gas Stock Office,Oil and Gas,Orlando,New Office Opening,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,2500.00,25000
Remote,Oil & Gas Stock Office,Oil and Gas,Carribean Island,Employment Review,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,3500,35000
Remote,Oil & Gas Stock Office,Oil and Gas,Hawaian Island,Sales Review Meetings,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,4500,45000
Remote,Oil & Gas Stock Office,Oil and Gas,Key West,Land Development,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,2500,25000
Remote,Oil & Gas Stock Office,Oil and Gas,San Francisco,Equipment Procurement,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,2500,25000
Remote,Oil & Gas Stock Office,Oil and Gas,Houston,Supply Management,Commercial operation focused on the business of procuring oil and gas and generating products that are derived from them.,2500,25000
Remote,Movie Theater,Movies,New Orleans,Business Conference,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1200.00,12000
Remote,Movie Theater,Movies,Chicago,Business Meeting,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1800.00,18000
Remote,Movie Theater,Movies,Grand Canyon National Park,Business Operation Review,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1500.00,15000
Remote,Movie Theater,Movies,New York City,Business Audit,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,3000.00,30000
Remote,Movie Theater,Movies,Yellowstone National Park,Development Oversight,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,2000.00,20000
Remote,Movie Theater,Movies,Las Vegas,New Venture,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,4000.00,40000
Remote,Movie Theater,Movies,Washington DC,Meeting with Gov. Officials,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1300.00,13000
Remote,Movie Theater,Movies,San Diego,Business Seminar,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1900.00,19000
Remote,Movie Theater,Movies,Charleston,Office Training,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,1000.00,10000
Remote,Movie Theater,Movies,Orlando,New Office Opening,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,2500.00,25000
Remote,Movie Theater,Movies,Carribean Island,Employment Review,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,3500,35000
Remote,Movie Theater,Movies,Hawaian Island,Sales Review Meetings,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,4500,45000
Remote,Movie Theater,Movies,Key West,Land Development,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,2500,25000
Remote,Movie Theater,Movies,San Francisco,Equipment Procurement,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,2500,25000
Remote,Movie Theater,Movies,Houston,Supply Management,Commercial business promoting consumer opportunities to eat and drink while seeing a movie on large screens. This is a franchise expanding across the country.,2500,25000
Remote,Mummy Museum,Museum,New Orleans,Business Conference,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1200.00,12000
Remote,Mummy Museum,Museum,Chicago,Business Meeting,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1800.00,18000
Remote,Mummy Museum,Museum,Grand Canyon National Park,Business Operation Review,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1500.00,15000
Remote,Mummy Museum,Museum,New York City,Business Audit,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",3000.00,30000
Remote,Mummy Museum,Museum,Yellowstone National Park,Development Oversight,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",2000.00,20000
Remote,Mummy Museum,Museum,Las Vegas,New Venture,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",4000.00,40000
Remote,Mummy Museum,Museum,Washington DC,Meeting with Gov. Officials,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1300.00,13000
Remote,Mummy Museum,Museum,San Diego,Business Seminar,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1900.00,19000
Remote,Mummy Museum,Museum,Charleston,Office Training,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",1000.00,10000
Remote,Mummy Museum,Museum,Orlando,New Office Opening,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",2500.00,25000
Remote,Mummy Museum,Museum,Carribean Island,Employment Review,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",3500,35000
Remote,Mummy Museum,Museum,Hawaian Island,Sales Review Meetings,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",4500,45000
Remote,Mummy Museum,Museum,Key West,Land Development,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",2500,25000
Remote,Mummy Museum,Museum,San Francisco,Equipment Procurement,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",2500,25000
Remote,Mummy Museum,Museum,Houston,Supply Management,"Commercial business promoting consumer opportunities to see wax, wood, and stone versions of famous celebrities and characters. This is a franchise business expanding across the country.",2500,25000
Remote,Robotics Office,Robotics,New Orleans,Business Conference,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1200.00,12000
Remote,Robotics Office,Robotics,Chicago,Business Meeting,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1800.00,18000
Remote,Robotics Office,Robotics,Grand Canyon National Park,Business Operation Review,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1500.00,15000
Remote,Robotics Office,Robotics,New York City,Business Audit,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,3000.00,30000
Remote,Robotics Office,Robotics,Yellowstone National Park,Development Oversight,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,2000.00,20000
Remote,Robotics Office,Robotics,Las Vegas,New Venture,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,4000.00,40000
Remote,Robotics Office,Robotics,Washington DC,Meeting with Gov. Officials,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1300.00,13000
Remote,Robotics Office,Robotics,San Diego,Business Seminar,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1900.00,19000
Remote,Robotics Office,Robotics,Charleston,Office Training,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,1000.00,10000
Remote,Robotics Office,Robotics,Orlando,New Office Opening,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,2500.00,25000
Remote,Robotics Office,Robotics,Carribean Island,Employment Review,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,3500,35000
Remote,Robotics Office,Robotics,Hawaian Island,Sales Review Meetings,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,4500,45000
Remote,Robotics Office,Robotics,Key West,Land Development,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,2500,25000
Remote,Robotics Office,Robotics,San Francisco,Equipment Procurement,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,2500,25000
Remote,Robotics Office,Robotics,Houston,Supply Management,New Commercial business franchise providing robotic services and developing new robotic technology to meet future needs.,2500,25000
Remote,Gold Bullion Office,Precious Metals,New Orleans,Business Conference,Business offices around the country that specialize in making special metals available to the public.,1200.00,12000
Remote,Gold Bullion Office,Precious Metals,Chicago,Business Meeting,Business offices around the country that specialize in making special metals available to the public.,1800.00,18000
Remote,Gold Bullion Office,Precious Metals,Grand Canyon National Park,Business Operation Review,Business offices around the country that specialize in making special metals available to the public.,1500.00,15000
Remote,Gold Bullion Office,Precious Metals,New York City,Business Audit,Business offices around the country that specialize in making special metals available to the public.,3000.00,30000
Remote,Gold Bullion Office,Precious Metals,Yellowstone National Park,Development Oversight,Business offices around the country that specialize in making special metals available to the public.,2000.00,20000
Remote,Gold Bullion Office,Precious Metals,Las Vegas,New Venture,Business offices around the country that specialize in making special metals available to the public.,4000.00,40000
Remote,Gold Bullion Office,Precious Metals,Washington DC,Meeting with Gov. Officials,Business offices around the country that specialize in making special metals available to the public.,1300.00,13000
Remote,Gold Bullion Office,Precious Metals,San Diego,Business Seminar,Business offices around the country that specialize in making special metals available to the public.,1900.00,19000
Remote,Gold Bullion Office,Precious Metals,Charleston,Office Training,Business offices around the country that specialize in making special metals available to the public.,1000.00,10000
Remote,Gold Bullion Office,Precious Metals,Orlando,New Office Opening,Business offices around the country that specialize in making special metals available to the public.,2500.00,25000
Remote,Gold Bullion Office,Precious Metals,Carribean Island,Employment Review,Business offices around the country that specialize in making special metals available to the public.,3500,35000
Remote,Gold Bullion Office,Precious Metals,Hawaian Island,Sales Review Meetings,Business offices around the country that specialize in making special metals available to the public.,4500,45000
Remote,Gold Bullion Office,Precious Metals,Key West,Land Development,Business offices around the country that specialize in making special metals available to the public.,2500,25000
Remote,Gold Bullion Office,Precious Metals,San Francisco,Equipment Procurement,Business offices around the country that specialize in making special metals available to the public.,2500,25000
Remote,Gold Bullion Office,Precious Metals,Houston,Supply Management,Business offices around the country that specialize in making special metals available to the public.,2500,25000
Remote,Paper Trade Office,Paper Products,New Orleans,Business Conference,Paper manufacturing business that produces a variety of products for consumer use. ,1200.00,12000
Remote,Paper Trade Office,Paper Products,Chicago,Business Meeting,Paper manufacturing business that produces a variety of products for consumer use. ,1800.00,18000
Remote,Paper Trade Office,Paper Products,Grand Canyon National Park,Business Operation Review,Paper manufacturing business that produces a variety of products for consumer use. ,1500.00,15000
Remote,Paper Trade Office,Paper Products,New York City,Business Audit,Paper manufacturing business that produces a variety of products for consumer use. ,3000.00,30000
Remote,Paper Trade Office,Paper Products,Yellowstone National Park,Development Oversight,Paper manufacturing business that produces a variety of products for consumer use. ,2000.00,20000
Remote,Paper Trade Office,Paper Products,Las Vegas,New Venture,Paper manufacturing business that produces a variety of products for consumer use. ,4000.00,40000
Remote,Paper Trade Office,Paper Products,Washington DC,Meeting with Gov. Officials,Paper manufacturing business that produces a variety of products for consumer use. ,1300.00,13000
Remote,Paper Trade Office,Paper Products,San Diego,Business Seminar,Paper manufacturing business that produces a variety of products for consumer use. ,1900.00,19000
Remote,Paper Trade Office,Paper Products,Charleston,Office Training,Paper manufacturing business that produces a variety of products for consumer use. ,1000.00,10000
Remote,Paper Trade Office,Paper Products,Orlando,New Office Opening,Paper manufacturing business that produces a variety of products for consumer use. ,2500.00,25000
Remote,Paper Trade Office,Paper Products,Carribean Island,Employment Review,Paper manufacturing business that produces a variety of products for consumer use. ,3500,35000
Remote,Paper Trade Office,Paper Products,Hawaian Island,Sales Review Meetings,Paper manufacturing business that produces a variety of products for consumer use. ,4500,45000
Remote,Paper Trade Office,Paper Products,Key West,Land Development,Paper manufacturing business that produces a variety of products for consumer use. ,2500,25000
Remote,Paper Trade Office,Paper Products,San Francisco,Equipment Procurement,Paper manufacturing business that produces a variety of products for consumer use. ,2500,25000
Remote,Paper Trade Office,Paper Products,Houston,Supply Management,Paper manufacturing business that produces a variety of products for consumer use. ,2500,25000
Remote,Utility Trade Office,Utility Servives,New Orleans,Business Conference,"A service organization that provides consumers with electricity, gas, and water services.",1200.00,12000
Remote,Utility Trade Office,Utility Servives,Chicago,Business Meeting,"A service organization that provides consumers with electricity, gas, and water services.",1800.00,18000
Remote,Utility Trade Office,Utility Servives,Grand Canyon National Park,Business Operation Review,"A service organization that provides consumers with electricity, gas, and water services.",1500.00,15000
Remote,Utility Trade Office,Utility Servives,New York City,Business Audit,"A service organization that provides consumers with electricity, gas, and water services.",3000.00,30000
Remote,Utility Trade Office,Utility Servives,Yellowstone National Park,Development Oversight,"A service organization that provides consumers with electricity, gas, and water services.",2000.00,20000
Remote,Utility Trade Office,Utility Servives,Las Vegas,New Venture,"A service organization that provides consumers with electricity, gas, and water services.",4000.00,40000
